date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:23	147512/147512	---M--	200	added ('OK')	image/svg+xml	etag:%225e42b95a-24038%22	https://demo.themesberg.com/leo/assets/img/illustrations/agency.svg	demo.themesberg.com/leo/assets/img/illustrations/agency.svg	(from https://demo.themesberg.com/leo/index.html)
11:22:24	86780/86780	---M--	200	added ('OK')	image/svg+xml	etag:%225e42b95a-152fc%22	https://demo.themesberg.com/leo/assets/img/illustrations/reading.svg	demo.themesberg.com/leo/assets/img/illustrations/reading.svg	(from https://demo.themesberg.com/leo/index.html)
11:22:24	59762/59762	---M--	200	added ('OK')	image/svg+xml	etag:%225e42b95a-e972%22	https://demo.themesberg.com/leo/assets/img/illustrations/meditating.svg	demo.themesberg.com/leo/assets/img/illustrations/meditating.svg	(from https://demo.themesberg.com/leo/index.html)
11:22:26	86742/86742	---M--	200	added ('OK')	image/svg+xml	etag:%225e42b95a-152d6%22	https://demo.themesberg.com/leo/assets/img/illustrations/unboxing.svg	demo.themesberg.com/leo/assets/img/illustrations/unboxing.svg	(from https://demo.themesberg.com/leo/index.html)
11:22:27	78090/78090	---M--	200	added ('OK')	image/svg+xml	etag:%225e42b95a-1310a%22	https://demo.themesberg.com/leo/assets/img/illustrations/services.svg	demo.themesberg.com/leo/assets/img/illustrations/services.svg	(from https://demo.themesberg.com/leo/index.html)
11:22:29	240535/240535	---M--	200	added ('OK')	image/png	etag:%225e42b95a-3ab97%22	https://demo.themesberg.com/leo/assets/img/themesberg-website.png	demo.themesberg.com/leo/assets/img/themesberg-website.png	(from https://demo.themesberg.com/leo/index.html)
11:22:30	620642/620642	---M--	200	added ('OK')	image/png	etag:%225e42b95a-97862%22	https://demo.themesberg.com/leo/assets/img/agency-portofolio-app.png	demo.themesberg.com/leo/assets/img/agency-portofolio-app.png	(from https://demo.themesberg.com/leo/index.html)
11:22:31	249996/249996	---M--	200	added ('OK')	image/png	etag:%225e42b95a-3d08c%22	https://demo.themesberg.com/leo/assets/img/desktop-app-chat.png	demo.themesberg.com/leo/assets/img/desktop-app-chat.png	(from https://demo.themesberg.com/leo/index.html)
11:22:32	290105/290105	---M--	200	added ('OK')	image/jpeg	etag:%225e42b95a-46d39%22	https://demo.themesberg.com/leo/assets/img/team/profile-picture-1.jpg	demo.themesberg.com/leo/assets/img/team/profile-picture-1.jpg	(from https://demo.themesberg.com/leo/index.html)
11:22:32	34952/34952	---M--	200	added ('OK')	image/jpeg	etag:%225e42b95a-8888%22	https://demo.themesberg.com/leo/assets/img/team/profile-picture-2.jpg	demo.themesberg.com/leo/assets/img/team/profile-picture-2.jpg	(from https://demo.themesberg.com/leo/index.html)
